t,Size,Time
0,1000,0.005806446075439453
1,1000,0.006127357482910156
2,1000,0.0059528350830078125
3,1000,0.005644083023071289
4,1000,0.005651235580444336
5,1000,0.005623817443847656
6,1000,0.005732536315917969
7,1000,0.0057184696197509766
8,1000,0.0056304931640625
9,1000,0.005681276321411133
0,5000,0.03438878059387207
1,5000,0.03363847732543945
2,5000,0.033624887466430664
3,5000,0.03357243537902832
4,5000,0.033753156661987305
5,5000,0.03372836112976074
6,5000,0.03384137153625488
7,5000,0.03371119499206543
8,5000,0.03350663185119629
9,5000,0.0338740348815918
0,10000,0.07195758819580078
1,10000,0.07212114334106445
2,10000,0.07239198684692383
3,10000,0.07297039031982422
4,10000,0.07214093208312988
5,10000,0.07274079322814941
6,10000,0.07227587699890137
7,10000,0.07182097434997559
8,10000,0.07224678993225098
9,10000,0.07231974601745605
0,50000,0.40895771980285645
1,50000,0.40933918952941895
2,50000,0.43114161491394043
3,50000,0.4676697254180908
4,50000,0.4405641555786133
5,50000,0.4684183597564697
6,50000,0.4531846046447754
7,50000,0.4239170551300049
8,50000,0.4123854637145996
9,50000,0.45754170417785645
0,100000,0.9284975528717041
1,100000,0.8782117366790771
2,100000,0.8749217987060547
3,100000,0.9766402244567871
4,100000,0.8969707489013672
5,100000,0.8704254627227783
6,100000,0.8679554462432861
7,100000,0.9319849014282227
8,100000,0.8939783573150635
9,100000,0.8622872829437256
0,500000,4.950827360153198
1,500000,5.043532609939575
2,500000,5.035770893096924
3,500000,5.103165149688721
4,500000,4.919637203216553
5,500000,4.959092140197754
6,500000,5.141834020614624
7,500000,4.965464353561401
8,500000,4.978569030761719
9,500000,5.002960443496704
